Fold,Window Size,LSTM Units,Batch Size,Learning Rate,MSE,MAE,Best Val Loss,Best Epoch
2,50,64,32,0.001,0.04588817480101659,0.17002733896311598,0.04588818550109863,2
3,50,64,32,0.001,0.03748781344015671,0.1466056012459378,0.037487808614969254,2
1,50,64,32,0.0005,0.04633370730679575,0.16933519937521233,0.0463336780667305,7
2,50,64,32,0.0005,0.04615485010868506,0.16879616710638493,0.04615483805537224,10
3,50,64,32,0.0005,0.03733909606867247,0.1401814270797226,0.03733912482857704,1
1,50,64,32,0.0001,0.04614390824058574,0.17261345144854914,0.04614388942718506,11
2,50,64,32,0.0001,0.046170721736117554,0.168907996322358,0.046170756220817566,1
3,50,64,32,0.0001,0.03755007372715875,0.1413850960761366,0.037550073117017746,1
1,50,64,64,0.001,0.04601520757501173,0.16896199178150967,0.0460151769220829,16
2,50,64,64,0.001,0.046007741427284934,0.1668702982657674,0.04600777477025986,4
3,50,64,64,0.001,0.037395940102944,0.13911751405872488,0.03739595413208008,1
1,50,64,64,0.0005,0.04670936585673805,0.17309705722270388,0.04670935124158859,9
2,50,64,64,0.0005,0.04644024366820611,0.17045674055212817,0.046440232545137405,11
3,50,64,64,0.0005,0.03784526052197068,0.14157858915191535,0.03784525766968727,1
1,50,64,64,0.0001,0.04635977155345454,0.17232718977515452,0.046359747648239136,10
2,50,64,64,0.0001,0.04610774827068543,0.1667092049331563,0.0461077019572258,10
3,50,64,64,0.0001,0.03729910702091848,0.14144537475438373,0.03729912266135216,1
1,50,128,32,0.001,0.045930511103035636,0.17027084222714836,0.045930515974760056,19
2,50,128,32,0.001,0.0458369572064157,0.16347853634819917,0.04583694040775299,1
3,50,128,32,0.001,0.037217863683253714,0.14201644430494884,0.03721797093749046,1
1,50,128,32,0.0005,0.04599906160694557,0.16945939004386165,0.04599906876683235,12
2,50,128,32,0.0005,0.04595486372678324,0.1680193922301029,0.045954909175634384,4
3,50,128,32,0.0005,0.0373476570277624,0.14538032809229762,0.03734762966632843,1
1,50,128,32,0.0001,0.04633675272876429,0.1623344258581627,0.046336714178323746,6
2,50,128,32,0.0001,0.046003544788806715,0.16861218914943502,0.04600351303815842,14
3,50,128,32,0.0001,0.0372057044646396,0.13976625101657128,0.03720569610595703,1
1,50,128,64,0.001,0.046097197113796305,0.16947752823870482,0.04609709233045578,6
2,50,128,64,0.001,0.04612584486528915,0.16909377109003149,0.046125952154397964,5
3,50,128,64,0.001,0.037587739453327225,0.14760918933257605,0.03758818656206131,1
1,50,128,64,0.0005,0.0460866228598259,0.16809515253968318,0.04608655720949173,2
2,50,128,64,0.0005,0.04601551407530348,0.1669208864620366,0.04601572826504707,12
3,50,128,64,0.0005,0.03719041035553271,0.14099026111661422,0.03719039633870125,1
1,50,128,64,0.0001,0.04577175120155093,0.16745250647937296,0.04577169939875603,16
2,50,128,64,0.0001,0.04588255576000668,0.1687769865293996,0.045882586389780045,2
3,50,128,64,0.0001,0.03728307695958207,0.14175536905567673,0.037283096462488174,1
